Date,Time,Open,High,Low,Close,Volume
02-01-2023,09:15,10045.76,10058.08,10041.63,10057.38,38988
02-01-2023,09:30,10057.38,10072.83,10056.63,10072.15,15726
02-01-2023,09:45,10072.15,10072.57,10064.35,10068.99,8771
02-01-2023,10:00,10068.99,10077.51,10061.77,10074.21,34860
02-01-2023,10:15,10074.21,10086.71,10072.95,10085.51,12775
02-01-2023,10:30,10085.51,10099.51,10083.21,10095.71,12450
02-01-2023,10:45,10095.71,10110.56,10090.66,10102.63,23795
02-01-2023,11:00,10102.63,10109.26,10080.57,10084.87,7799
02-01-2023,11:15,10084.87,10093.88,10079.34,10080.2,44992
02-01-2023,11:30,10080.2,10086.27,10073.29,10078.66,41849
02-01-2023,11:45,10078.66,10084.94,10072.17,10077.18,12911
02-01-2023,12:00,10077.18,10092.65,10069.99,10086.11,17331
02-01-2023,12:15,10086.11,10089.72,10081.39,10082.62,18178
02-01-2023,12:30,10082.62,10094.44,10073.87,10087.19,35719
02-01-2023,12:45,10087.19,10102.28,10082.79,10094.62,28792
02-01-2023,13:00,10094.62,10098.82,10060.27,10063.73,36721
02-01-2023,13:15,10063.73,10076.15,10062.12,10075.79,28045
02-01-2023,13:30,10075.79,10078.31,10064.37,10071.64,1512
02-01-2023,13:45,10071.64,10076.29,10064.49,10065.54,28048
02-01-2023,14:00,10065.54,10069.41,10065.12,10068.79,48029
02-01-2023,14:15,10068.79,10081.55,10068.76,10074.17,37961
02-01-2023,14:30,10074.17,10078.96,10067.88,10077.36,49319
02-01-2023,14:45,10077.36,10083.06,10068.69,10069.13,39559
02-01-2023,15:00,10069.13,10071.31,10051.01,10057.63,31907
02-01-2023,15:15,10057.63,10062.21,10043.18,10044.69,45067
02-01-2023,15:30,10044.69,10045.05,10038.98,10039.42,2210
03-01-2023,09:15,10052.36,10082.41,10045.07,10073.5,24896
03-01-2023,09:30,10073.5,10086.13,10071.19,10078.4,14570
03-01-2023,09:45,10078.4,10099.47,10071.51,10092.62,38302
03-01-2023,10:00,10092.62,10100,10081.08,10093.9,46957
03-01-2023,10:15,10093.9,10094.1,10093.11,10093.4,1560
03-01-2023,10:30,10093.4,10114.03,10091.77,10113.53,23779
03-01-2023,10:45,10113.53,10121.11,10112.86,10116.08,1616
03-01-2023,11:00,10116.08,10124.24,10107.54,10119.86,45620
03-01-2023,11:15,10119.86,10121.81,10104.12,10112.05,41718
03-01-2023,11:30,10112.05,10117.77,10108.57,10113.23,46106
03-01-2023,11:45,10113.23,10130.08,10111.05,10129.15,10785
03-01-2023,12:00,10129.15,10143.73,10123.65,10143.4,7718
03-01-2023,12:15,10143.4,10154.88,10138.32,10153.24,16716
03-01-2023,12:30,10153.24,10160.23,10144.62,10148.6,5166
03-01-2023,12:45,10148.6,10154.63,10141.55,10144.73,17466
03-01-2023,13:00,10144.73,10144.88,10127.67,10131.73,47584
03-01-2023,13:15,10131.73,10139.16,10127.3,10131.19,40325
03-01-2023,13:30,10131.19,10131.99,10121.3,10126.28,12961
03-01-2023,13:45,10126.28,10132.03,10114.77,10120.49,15585
03-01-2023,14:00,10120.49,10124.16,10107.35,10112.02,37073
03-01-2023,14:15,10112.02,10120.61,10111.95,10119.3,2805
03-01-2023,14:30,10119.3,10124.71,10099.14,10106.67,34579
03-01-2023,14:45,10106.67,10111.06,10104.87,10110.29,14985
03-01-2023,15:00,10110.29,10125.63,10104.67,10123.23,12285
03-01-2023,15:15,10123.23,10123.64,10120.4,10123.08,24718
03-01-2023,15:30,10123.08,10140.01,10121.17,10134.27,10787
04-01-2023,09:15,10108.66,10118.41,10106.09,10115.56,10064
04-01-2023,09:30,10115.56,10119.82,10107.86,10114.81,24256
04-01-2023,09:45,10114.81,10120.2,10107.67,10118.41,25948
04-01-2023,10:00,10118.41,10125,10096.5,10103.64,17535
04-01-2023,10:15,10103.64,10110.97,10096.79,10109.78,43524
04-01-2023,10:30,10109.78,10118.84,10098.13,10104.72,41878
04-01-2023,10:45,10104.72,10105.19,10082.81,10091.7,45845
04-01-2023,11:00,10091.7,10096.22,10090.86,10095.7,24784
04-01-2023,11:15,10095.7,10096.99,10092.05,10095.78,2047
04-01-2023,11:30,10095.78,10096.88,10088.14,10095.45,25987
04-01-2023,11:45,10095.45,10114.28,10091.84,10106.88,34072
04-01-2023,12:00,10106.88,10107.32,10103.82,10105.82,45953
04-01-2023,12:15,10105.82,10106.06,10092.16,10096.98,41807
04-01-2023,12:30,10096.98,10109.11,10096.61,10104.02,39178
04-01-2023,12:45,10104.02,10121.48,10103.85,10120.17,43099
04-01-2023,13:00,10120.17,10123,10113.41,10114.35,10364
04-01-2023,13:15,10114.35,10116.52,10108.43,10114.69,24353
04-01-2023,13:30,10114.69,10124.79,10098.61,10104,3356
04-01-2023,13:45,10104,10105.31,10080.81,10087.17,2388
04-01-2023,14:00,10087.17,10091.51,10078.94,10080.77,7443
